1104,파송의 노래,너의 가는 길에 주의 평강,
1105,너는 내 것이라 (최덕신),네가 부유해도 가난해도,
1106,소중한 부부,여보 미안해요 살아갈수록,
1107,그는 실로 우리의,그는 실로 우리의,
1108,하나 되게 하소서,하나님께서는 우리의 만남을,
1109,주는 나의 목자,주는 나를 기르시는,
1110,너는 복의 근원될지라,너는 너의 본토 친척,
1111,Greeting Song,Woo~ 푸른 하늘과 흰구름,
1112,탕자처럼,탕자처럼 방황 할 때도,
1113,너를 사랑해,너를 사랑해 내 가슴이,
1114,너는 그리스도의 향기라,너는 그리스도의 향기라,
1115,진실한 사랑,낙심할 때에도 좌절할 때에도,
1116,부르짖으라,내가 주를 향하여 눈을,
1117,주님만이 나의 행복,주님을 사랑하다,
1118,깨어있어 맞이 하여라,우리 주님 오신 날에,
1119,이 땅 위에 하나님의 교회,이 땅 위에 하나님의,
1120,주님 가신 길,주님 가신 길 십자가의 길,
1121,주님의 영광,영광을 돌리세 우리,
1122,우리의 만남 영원하게,우리의 만남은,
1123,이젠 들리는가,이젠 들리는가 너희를,
1124,기도,마음이 어둡고 괴로울 때,
1125,거룩한 성에,거룩한 성에 들어가겠네,
1126,이사야의 입술에,이사야의 입술에 제단,
1127,찬양 할 수 있는 기쁨,찬양할 수 있는 기쁨,
1128,주기도문 (장욱조),하늘에 계신 아버지 (장욱조),
1129,주 이름 높이어,주 이름 높이어 내민 손이,
1130,사랑의 종소리,주께 두 손 모아 비나니,
1131,축복의 사람,주께 힘을 얻고,
1132,주님 앞에,주님 앞에 엎디어서,
1133,가라,세상 끝날까지 함께,
1134,주님 뜻대로,주님 뜻대로 살기로,
1135,사명의 노래,골고다 언덕 메시아의,
1136,찬양이 언제나 넘치면,찬양이 언제나 넘치면,
1137,오호라 나는,오호라 나는 곤고한 사람,
1138,복음의 나팔을 불어라,생명 빛 비추어라,
1139,사람 그리고 예수,사람이 흙으로 지어지고,
1140,복있는 사람은,복 있는 사람은 악인의,
1141,성령이여 임하소서,성령이여 임하소서,
1142,주여 어찌 하오리까,주여 어찌하오리까,
1143,나 가진 것 없다고,나 가진 것 없다고,
1144,만백성들아,만백성들아 모여라,
1145,예수,높고 높은 보좌를 떠나,
1146,주 사모합니다,주 사모합니다,
1147,내가 너를 (불렀나니),내가 너를 불렀나니,
1148,하나님,하나님 하나님 여호와,
1149,내가 너를 택했노라,내가 너를 택했노라,
1150,기도하는 그대여,깊은 밤 홀로 우는,
1151,내가 너를 도우리라,세상 일에 실패 했어도,
1152,내가 영으로,내가 영으로 노래하리니,
1153,주는 우리의 기쁨,주는 우리의 기쁨,
1154,하루를 살아도,하루를 살아도,
1155,온 세상 향한,온 세상 향한 아버지의,
1156,그 이름 예수,죽은 나사로 그의 형제 앞에,
1157,감사드려요,감사 드려요 날 사랑하심,
1158,여호와는 나의 반석,여호와는 나의 반석,
1159,나는 가고 싶소,나는 가고 싶소 주님,
1160,주 예수 사랑 기쁨,주 예수 사랑 기쁨,
1161,주 찬양합니다,주 찬양합니다 내 마음을,
1162,주님을 알기 전에,주님을 알기 전에,
1163,그 진실한 사랑,그 진실한 사랑 그,
1164,나의 하나님은,나의 하나님은 나의,
1165,산제사,아버지의 마음을,
1166,난 믿어요 예수,내 삶을 주께 드리며,
1167,생명 나무,갈보리 언덕에 주님의,
1168,내가 내 교회를 세우리니,내가 내 교회를 세우리니,
1169,주님 사랑해요 (김동국),주님 사랑해요,
1170,그 날까지,주님을 따라 가기엔,
1171,너는 두려워 말라,너는 두려워 말라 내가,
1172,영광의 왕 위대한 전사,당신은 영광의 왕 (김석균),
1173,언제까지나,괴로운 일과 슬픔의,
1174,이 길을 함께,길을 걷다가 지쳐,
1175,여기에 모인 우리 (전체1절),여기에 모인 우리 (전체1절),
1176,불속에라도 들어가서,죄악 된 세상을,
1177,하나님만을,하나님만을 하나님만을,
1178,당신은 하나님의 사람,주님은 은혜로 살아가는,
1179,찬양을 하면은,찬양을 찬양을 하면은,
1180,고백,어느 날 다가온 주님의,
1181,정결한 마음 주소서,정결한 마음 주시옵소서,
1182,주님의 쓴잔을,주님의 쓴 잔을,
1183,축복송 (송정미),때로는 너의 앞에,
1184,사랑의 하나님,사랑의 하나님 알게,
1185,복음의 씨를 뿌리세,우리 모두 함께 복음의,
1186,나의 가는 길을,나의 가는 길을 오직,
1187,주의 나라 세워지리라,하나님의 사랑은,
1188,나의 하나님 (하나님은 사랑이요),하나님은 사랑이요,
1189,주소서,슬퍼할 만할 때에,
1190,눈을 들어 하늘을,사방이 가로막혀,
1191,주님께 영광을,주님께 영광을 주님께,
1192,우리는 하나,우리 이웃 어떻게 사는지,
1193,정처 없이 살아온,정처 없이 살아온,
1194,사랑 사랑,형제의 손잡고 기도를,
1195,내 맘 깊은곳,내 맘 깊은 곳 주께,
1196,서로 사랑하자 (박형근),우리는 주님의 자녀,
1197,자기를 위하여,자기를 위하여 높이는 자는,
1198,하나님의 은혜 (남보석),내가 지금 부름 받음은,
1199,당신을 향한 노래,아주 먼 옛날 하늘에서는,
1200,별처럼 빛나고,별처럼 빛나고 아름다운,
1201,오늘 이 하루도,내게 주어진 하루를,
1202,오 이 기쁨,오 이 기쁨 주님,
1203,눈물만 흘렸다오,주를 멀리 떠나 살면서,
1204,기적의 하나님,그 어느 날 새가,
1205,나의 힘이 되신 여호와여,나의 힘이 되신 여호와여,
1206,주님의 살과 피,주님의 살과 피,
1207,할렐루야 주가 다스리네,할렐루야 주가 다스리네,
1208,주님께 찬양하는 우리의,주님께 찬양하는,
1209,수가성의 사마리아 여자,수가성의 사마리아,
1210,나의 본향 집,우리가 세상을 사는,
1211,오직 믿음으로,세상 흔들리고 사람들은,
1212,기쁨의 노래,우리 모두 다 소리,
1213,복 되어라 우리 가정,복되어라 우리가정,
1214,어두운 세상 방황하며,어둔 세상 방황하며,
1215,위로의 말 한마디,위로의 말 한마디,
1216,예수 이름이 온 땅에,예수 이름이 온 땅에,
1217,하나님은 너를 지키시는,하나님은 너를 지키시는 자,
1218,예수 이름 높이세,수많은 무리들 줄지어,
1219,하나님의 약속 (축복송),여호와는 너에게 복을,
1220,아직도 용서할 수가 없나요,아직도 미움의 불씨가,
1221,나의 평생에,나의 평생에 오직,
1222,당신의 생일을 축하합니다,당신의 생일을 축하,
1223,아버지 감사해요,아버지 감사해요,
1224,그 사랑의 숨결,따스한 햇살처럼,
1225,주 하나님 왜,주 하나님 왜 어리석은,
1226,주를 위해 바칩니다,세상에서 방황할 때,
1227,나의 하나님 (강태원),나의 하나님 나의 하나님,
1228,주님의 품으로,내 사랑하는 형제여,
1229,오! 기쁘도다,오 기쁘도다 나의 생활,
1230,너도 나처럼,나의 친구여 내 말을,
